sample	reads	lib
RF4BU03.fq.gz	489143	lib13
RF4BU04.fq.gz	431746	lib13
RF4BU05.fq.gz	439250	lib13
RF4BU06.fq.gz	463521	lib13
RF4BU07.fq.gz	651127	lib13
RF4BU08.fq.gz	588053	lib13
RF4BW01.fq.gz	789650	lib13
RF4BW02.fq.gz	665171	lib13
RF4BW03.fq.gz	820692	lib13
RF4BW04.fq.gz	564919	lib13
RF4BW05.fq.gz	798419	lib13
RF4BW06.fq.gz	588794	lib13
RF4BW07.fq.gz	631726	lib13
RF4BW08.fq.gz	644904	lib13
RF4BW09.fq.gz	608397	lib13
RF4BW10.fq.gz	62238	lib13
RF4CC01.fq.gz	674167	lib13
RF4CC02.fq.gz	778991	lib13
RF4CC03.fq.gz	777417	lib13
RF4CC04.fq.gz	760660	lib13
RF4CC05.fq.gz	535777	lib13
RF4CC06.fq.gz	758045	lib13
RF4CC07.fq.gz	692846	lib13
RF4CC08.fq.gz	776853	lib13
