sample	total	unique	multi	nohit	lib
CF4BS04	333269	114661	177362	41246	lib13
CF4BS08	271276	82181	149040	40055	lib13
CF4BQ08	553196	221190	243255	88751	lib13
RF4BR04	528674	180629	275984	72061	lib13
RF4BT11	3241	579	467	2195	lib13
CF4BS03	540524	148625	286497	105402	lib13
RF4BR05	535287	158577	325818	50892	lib13
CF4BS06	482241	114938	303722	63581	lib13
CF4BS07	631358	119262	313503	198593	lib13
RF4BT04	307891	89926	185758	32207	lib13
RF4BT06	376653	91757	254526	30370	lib13
RF4BT03	451709	182399	116459	152851	lib13
RF4BT05	376858	111806	227647	37405	lib13
RF4BT08	329585	109711	177812	42062	lib13
CF4BS09	578331	142591	372344	63396	lib13
CF4BS05	577573	213625	258254	105694	lib13
RF4BT02	479311	129117	310318	39876	lib13
RF4BT01	506365	178124	267055	61186	lib13
CF4BV04	2028	524	588	916	lib13
CF4BS10	573527	164090	358106	51331	lib13
RF4BT09	408093	139479	218967	49647	lib13
RF4BT07	440825	138616	257244	44965	lib13
RF4BT12	641825	136580	87273	417972	lib13
RF4BT10	484294	191292	224384	68618	lib13
RF4BU01	491027	187413	170397	133217	lib13
RF4BU06	463521	199394	149820	114307	lib13
RF4BU04	431746	181446	117279	133021	lib13
RF4BU05	439250	180285	150738	108227	lib13
RF4BU02	542071	247896	153771	140404	lib13
RF4BU03	489143	198141	191801	99201	lib13
RF4BU07	651127	275193	274766	101168	lib13
RF4BW10	62238	27714	23030	11494	lib13
RF4BU08	588053	300906	170755	116392	lib13
CF4BV05	601943	286850	206948	108145	lib13
CF4BV01	683629	282709	316462	84458	lib13
CF4BV03	676054	280824	301953	93277	lib13
CF4BV02	725687	285347	300120	140220	lib13
CF4BV09	841883	289269	213245	339369	lib13
CF4BV06	763459	339037	247135	177287	lib13
CF4BV11	703856	281811	320994	101051	lib13
CF4BV10	748554	299872	215890	232792	lib13
RF4BW04	564919	269185	151476	144258	lib13
CF4BV08	871736	383025	273811	214900	lib13
RF4BW02	665171	331578	228899	104694	lib13
CF4BV12	913742	300085	318868	294789	lib13
CF4BV07	1217332	346177	365487	505668	lib13
RF4BW06	588794	299739	182598	106457	lib13
RF4BW01	789650	390794	296616	102240	lib13
RF4BW07	631726	259604	280717	91405	lib13
RF4BW09	608397	312888	200143	95366	lib13
RF4BW08	644904	296170	206437	142297	lib13
RF4BW03	820692	362227	349246	109219	lib13
RF4BW05	798419	322049	385485	90885	lib13
CF4BX01	807955	362984	217200	227771	lib13
CF4BX03	643052	251834	261779	129439	lib13
CF4BX02	816347	352971	283155	180221	lib13
CF4BY01	577035	232888	151484	192663	lib13
CF4BX06	603567	273589	168373	161605	lib13
CF4BX05	582814	296734	179115	106965	lib13
CF4BX07	613269	297743	179943	135583	lib13
CF4BY03	492501	234775	147977	109749	lib13
CF4BX04	891578	290277	355845	245456	lib13
CF4BY04	671595	267870	179692	224033	lib13
CF4BY02	832222	261667	205980	364575	lib13
CF4BY05	669106	293275	201509	174322	lib13
CF4BY08	540005	220737	141679	177589	lib13
CF4BY07	709298	250774	160610	297914	lib13
CF4BY06	681604	311703	223225	146676	lib13
CF4BZ01	472921	205124	114222	153575	lib13
CF4BZ05	481313	187329	106816	187168	lib13
CF4BZ03	531639	242185	153472	135982	lib13
CF4BY09	859515	310101	240802	308612	lib13
CF4BZ02	633098	277577	156582	198939	lib13
CF4BY10	727761	290246	198941	238574	lib13
CF4BZ04	676586	308859	179210	188517	lib13
CF4CA01	658562	198740	183288	276534	lib13
CF4CB02	540402	181613	111037	247752	lib13
CF4CA03	730085	246071	237955	246059	lib13
CF4CB03	778954	181161	122442	475351	lib13
CF4CA05	599674	234379	260804	104491	lib13
CF4CB01	702313	256086	162095	284132	lib13
CF4CB04	743388	233511	156634	353243	lib13
CF4CA02	1056538	321879	417352	317307	lib13
CF4CA04	787050	330568	375338	81144	lib13
CF4CB05	848752	279522	210295	358935	lib13
CF4CD06	519600	75340	66350	377910	lib13
RF4CC05	535777	262591	186163	87023	lib13
RF4CC01	674167	324348	191255	158564	lib13
RF4CC03	777417	356966	284176	136275	lib13
RF4CC07	692846	265357	341664	85825	lib13
CF4CD03	523941	260580	162373	100988	lib13
RF4CC04	760660	360615	286097	113948	lib13
CF4CD02	604519	285058	199831	119630	lib13
RF4CC08	776853	298986	376719	101148	lib13
RF4CC02	778991	382954	267290	128747	lib13
CF4CD01	610374	296066	194531	119777	lib13
RF4CC06	758045	316876	327149	114020	lib13
CF4CD05	662722	276357	311371	74994	lib13
CF4CD09	640952	169605	181795	289552	lib13
CF4CD07	683770	331577	217070	135123	lib13
CF4CD08	756245	378694	257494	120057	lib13
CF4CD04	689442	323937	267009	98496	lib13
CF4CD10	608293	247160	163274	197859	lib13
